City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolayevsk-on-amure,-37.0676,-12.3116,60.19,91,100,15.12,SH,1702525746
1,nikolayevsk-on-amure,-49.35,70.2167,41.05,84,75,43.73,TF,1702525745
2,nikolayevsk-on-amure,63.7506,-68.5145,8.33,72,75,5.75,CA,1702525724
3,nikolayevsk-on-amure,64.0049,-22.5624,39.63,81,75,48.34,IS,1702525754
4,nikolayevsk-on-amure,45.7625,106.2708,-3.12,90,100,14.99,MN,1702525985
5,nikolayevsk-on-amure,57.79,-152.4072,18.91,73,100,17.27,US,1702525758
6,nikolayevsk-on-amure,-43.9535,-176.5597,53.82,76,76,17.0,NZ,1702525743
7,nikolayevsk-on-amure,-33.918,25.5701,63.32,92,20,17.27,ZA,1702525760
8,nikolayevsk-on-amure,-46.5619,169.4708,56.71,57,99,9.71,NZ,1702525758
9,nikolayevsk-on-amure,-25.0319,46.9987,78.87,94,40,16.11,MG,1702525760
10,nikolayevsk-on-amure,-25.066,-130.1015,74.26,86,92,9.62,PN,1702525747
11,nikolayevsk-on-amure,19.7297,-155.09,76.73,81,75,9.22,US,1702525693
12,nikolayevsk-on-amure,-54.2811,-36.5092,37.96,95,91,3.11,GS,1702525750
13,nikolayevsk-on-amure,-7.5119,-39.7242,73.18,61,17,5.06,BR,1702525995
14,nikolayevsk-on-amure,70.9221,-8.7187,34.95,97,100,36.73,SJ,1702525774
15,nikolayevsk-on-amure,54.868,-1.6985,34.29,93,20,6.91,GB,1702525751
16,nikolayevsk-on-amure,53.9166,-122.753,35.04,89,100,8.05,CA,1702525920
17,nikolayevsk-on-amure,-0.7393,-90.3518,75.24,90,71,7.61,EC,1702525758
18,nikolayevsk-on-amure,-19.6833,63.4167,82.49,69,20,13.8,MU,1702525765
19,nikolayevsk-on-amure,-54.8,-68.3,42.46,75,20,6.91,AR,1702525761
20,nikolayevsk-on-amure,32.6268,65.8733,50.81,19,100,2.48,AF,1702526003
21,nikolayevsk-on-amure,64.8,-147.5333,3.07,85,75,6.91,US,1702525776
22,nikolayevsk-on-amure,69.2167,-51.1,17.62,67,100,14.97,GL,1702525763
23,nikolayevsk-on-amure,5.6667,73.0,83.66,75,80,17.56,MV,1702525804
24,nikolayevsk-on-amure,68.0546,166.4372,-12.84,99,86,5.7,RU,1702525745
25,nikolayevsk-on-amure,-18.5278,32.1284,64.76,92,99,3.22,ZW,1702526009
26,nikolayevsk-on-amure,-46.4,168.35,58.19,56,84,5.7,NZ,1702525767
27,nikolayevsk-on-amure,32.3604,-97.6756,53.91,50,100,8.05,US,1702526011
28,nikolayevsk-on-amure,6.4965,2.6036,74.46,55,1,3.51,BJ,1702526013
29,nikolayevsk-on-amure,54.7682,-101.865,28.22,76,43,9.01,CA,1702526014
30,nikolayevsk-on-amure,21.9789,-159.3672,76.24,76,100,19.57,US,1702525722
31,nikolayevsk-on-amure,9.4236,-84.1652,79.29,75,7,4.21,CR,1702526016
32,nikolayevsk-on-amure,-6.1333,24.4833,66.54,93,100,1.61,CD,1702526017
33,nikolayevsk-on-amure,10.6333,-8.6833,65.53,23,0,4.54,GN,1702526019
34,nikolayevsk-on-amure,11.5,-3.5167,65.19,23,0,5.7,BF,1702526020
35,nikolayevsk-on-amure,-34.7333,135.8667,69.8,51,0,15.5,AU,1702525746
36,nikolayevsk-on-amure,23.7833,86.7167,69.89,35,46,4.16,IN,1702526023
37,nikolayevsk-on-amure,22.0669,-159.378,75.63,81,100,19.57,US,1702525760
38,nikolayevsk-on-amure,66.3128,14.1428,-5.33,84,100,0.0,NO,1702526025
39,nikolayevsk-on-amure,-43.0167,147.3167,70.74,59,81,3.0,AU,1702525757
40,nikolayevsk-on-amure,36.1352,2.9109,42.78,90,91,7.45,DZ,1702526027
41,nikolayevsk-on-amure,30.9224,-84.0091,53.67,50,75,5.01,US,1702526029
42,nikolayevsk-on-amure,78.2186,15.6401,31.84,74,75,4.61,SJ,1702525754
43,nikolayevsk-on-amure,51.1,114.53,-5.1,71,38,15.7,RU,1702526031
44,nikolayevsk-on-amure,40.4673,-87.6684,29.64,37,0,3.09,US,1702526033
45,nikolayevsk-on-amure,-25.4,-70.4833,61.97,85,25,2.37,CL,1702525799
46,nikolayevsk-on-amure,-51.7236,-72.4875,38.62,78,70,4.81,CL,1702525749
47,nikolayevsk-on-amure,55.7833,109.55,-10.37,77,28,2.95,RU,1702526036
48,nikolayevsk-on-amure,17.9257,19.1043,59.2,38,0,14.7,TD,1702525782
49,nikolayevsk-on-amure,64.8569,-147.8028,3.15,83,75,6.91,US,1702525751
50,nikolayevsk-on-amure,68.7098,-52.8699,15.53,71,100,11.34,GL,1702525752
51,nikolayevsk-on-amure,38.5167,-28.7,58.77,73,96,7.0,PT,1702525761
52,nikolayevsk-on-amure,19.5933,-154.9731,76.51,83,75,9.22,US,1702525747
53,nikolayevsk-on-amure,50.9333,6.95,46.96,92,75,4.61,DE,1702525782
54,nikolayevsk-on-amure,52.6971,1.6918,40.98,94,98,7.87,GB,1702526045
55,nikolayevsk-on-amure,7.9803,49.8164,76.51,75,49,13.31,SO,1702526046
56,nikolayevsk-on-amure,-34.5322,20.0403,60.93,61,100,6.78,ZA,1702525751
57,nikolayevsk-on-amure,-30.1106,153.2007,80.47,67,74,16.04,AU,1702526048
58,nikolayevsk-on-amure,-12.1568,96.8225,84.18,70,40,10.36,CC,1702525763
59,nikolayevsk-on-amure,-43.5333,172.6333,65.53,63,75,13.8,NZ,1702525925
60,nikolayevsk-on-amure,64.75,177.4833,10.9,72,0,15.66,RU,1702525750
61,nikolayevsk-on-amure,34.8262,126.1086,53.71,92,100,18.88,KR,1702526053
62,nikolayevsk-on-amure,42.2506,-75.833,31.57,81,100,8.05,US,1702526054
63,nikolayevsk-on-amure,61.4681,128.9203,-13.59,93,100,6.49,RU,1702525769
64,nikolayevsk-on-amure,66.0755,-23.124,37.15,85,97,9.22,IS,1702525746
65,nikolayevsk-on-amure,-28.8667,153.5667,95.77,52,28,18.86,AU,1702526058
66,nikolayevsk-on-amure,66.4167,112.4,-13.56,83,100,8.86,RU,1702525607
67,nikolayevsk-on-amure,-9.7024,33.2697,64.4,92,41,2.93,MW,1702526061
68,nikolayevsk-on-amure,28.5392,-80.672,72.09,69,0,16.11,US,1702526062
69,nikolayevsk-on-amure,53.0452,158.6483,23.59,46,75,26.84,RU,1702525746
70,nikolayevsk-on-amure,44.0572,17.4508,47.43,91,100,6.82,BA,1702526065
71,nikolayevsk-on-amure,-37.6167,-73.65,52.03,85,0,18.16,CL,1702525784
72,nikolayevsk-on-amure,23.0385,116.2899,75.34,70,99,8.08,CN,1702526068
73,nikolayevsk-on-amure,-10.0681,-78.1522,69.49,86,31,9.28,PE,1702526069
74,nikolayevsk-on-amure,62.7161,129.6658,-31.13,100,98,1.95,RU,1702525774
75,nikolayevsk-on-amure,15.1355,145.701,88.5,62,0,21.85,MP,1702525753
76,nikolayevsk-on-amure,-33.0153,27.9116,59.94,94,0,4.61,ZA,1702525510
77,nikolayevsk-on-amure,5.5577,95.3222,83.93,72,100,11.83,ID,1702525875
78,nikolayevsk-on-amure,69.4058,86.1778,-11.33,94,100,18.01,RU,1702525756
79,nikolayevsk-on-amure,15.2667,-83.7667,76.66,88,45,6.44,HN,1702526076
80,nikolayevsk-on-amure,-16.7333,-151.4333,81.05,83,68,17.9,PF,1702525756
81,nikolayevsk-on-amure,-2.8856,-40.12,80.06,77,14,17.76,BR,1702525756
82,nikolayevsk-on-amure,-7.5061,-63.0208,75.9,93,61,1.36,BR,1702525748
83,nikolayevsk-on-amure,-6.495,-43.7022,80.46,47,50,3.53,BR,1702525858
84,nikolayevsk-on-amure,37.2495,-83.1932,38.89,64,14,2.08,US,1702525788
85,nikolayevsk-on-amure,33.994,-96.3708,48.56,61,0,3.44,US,1702526084
86,nikolayevsk-on-amure,8.7058,171.2275,81.48,83,97,24.18,MH,1702525774
87,nikolayevsk-on-amure,9.5221,45.5336,63.95,58,68,9.19,SO,1702526086
88,nikolayevsk-on-amure,-8.5,117.4333,87.53,67,75,5.88,ID,1702526088
89,nikolayevsk-on-amure,41.3712,-73.414,34.75,58,0,5.75,US,1702525753
90,nikolayevsk-on-amure,10.1483,-85.452,77.09,79,0,10.18,CR,1702525787
91,nikolayevsk-on-amure,39.8333,97.7333,5.45,86,100,6.62,CN,1702525811
92,nikolayevsk-on-amure,1.3038,124.9112,71.69,75,47,1.92,ID,1702525877
93,nikolayevsk-on-amure,62.456,-114.3525,34.41,67,0,19.57,CA,1702525746
94,nikolayevsk-on-amure,53.9606,105.8817,-21.95,88,32,1.01,RU,1702526096
95,nikolayevsk-on-amure,-26.9566,24.7284,70.21,68,58,25.05,ZA,1702526097
96,nikolayevsk-on-amure,42.8,93.45,13.68,53,100,3.98,CN,1702525858
97,nikolayevsk-on-amure,34.0372,-118.6359,64.47,79,40,3.44,US,1702526099
98,nikolayevsk-on-amure,4.9167,-52.2667,75.24,100,0,0.0,GF,1702525784
99,nikolayevsk-on-amure,-53.15,-70.9167,44.71,65,0,11.5,CL,1702525749
100,nikolayevsk-on-amure,35.6489,117.2758,36.37,94,100,8.99,CN,1702526103
101,nikolayevsk-on-amure,67.4667,78.7,-2.6,95,100,8.32,RU,1702525779
102,nikolayevsk-on-amure,25.5198,90.2201,68.99,44,0,1.14,IN,1702525755
103,nikolayevsk-on-amure,52.2704,-9.7026,51.64,90,98,13.47,IE,1702525769
104,nikolayevsk-on-amure,32.6578,-114.4119,60.28,35,0,4.61,US,1702526107
105,nikolayevsk-on-amure,45.41,79.9186,1.65,74,0,3.13,KZ,1702525792
106,nikolayevsk-on-amure,11.3474,162.3373,81.84,80,92,21.85,MH,1702525775
107,nikolayevsk-on-amure,52.9463,-66.9114,1.31,78,75,6.91,CA,1702525917
108,nikolayevsk-on-amure,29.0667,-110.9667,67.01,49,0,3.4,MX,1702526054
109,nikolayevsk-on-amure,2.7603,46.3222,80.62,78,65,11.92,SO,1702525931
110,nikolayevsk-on-amure,-17.6167,177.4667,85.86,54,40,16.11,FJ,1702525921
111,nikolayevsk-on-amure,-22.9661,-42.0278,73.49,90,14,11.99,BR,1702525761
112,nikolayevsk-on-amure,52.0411,9.0028,40.08,96,100,1.99,DE,1702526117
113,nikolayevsk-on-amure,49.2833,10.7833,41.18,93,100,5.75,DE,1702526118
114,nikolayevsk-on-amure,26.5,-100.1667,63.63,94,100,9.62,MX,1702525776
115,nikolayevsk-on-amure,42.4694,-93.816,37.76,30,0,3.44,US,1702526120
116,nikolayevsk-on-amure,32.2217,70.3793,61.84,29,100,2.71,PK,1702526122
117,nikolayevsk-on-amure,13.9833,-14.8,72.68,19,28,8.86,SN,1702526123
118,nikolayevsk-on-amure,70.0744,29.7487,15.96,73,20,16.11,NO,1702525753
119,nikolayevsk-on-amure,44.7561,136.2939,14.09,31,3,10.04,RU,1702525871
120,nikolayevsk-on-amure,-8.6199,122.2111,86.14,63,68,2.53,ID,1702525773
121,nikolayevsk-on-amure,-33.5906,26.891,66.87,86,37,3.58,ZA,1702525751
122,nikolayevsk-on-amure,40.0222,52.9552,33.44,36,100,13.78,TM,1702526130
123,nikolayevsk-on-amure,35.6127,-77.3663,37.13,96,0,0.0,US,1702525578
124,nikolayevsk-on-amure,51.0333,-4.2167,44.62,90,100,8.55,GB,1702525914
125,nikolayevsk-on-amure,41.7057,-70.2286,37.96,58,0,25.99,US,1702526133
126,nikolayevsk-on-amure,45.5234,-122.6762,50.05,72,100,11.99,US,1702525527
127,nikolayevsk-on-amure,-21.2078,-159.775,77.05,94,100,11.5,CK,1702525748
128,nikolayevsk-on-amure,54.6,-7.3,46.54,87,86,10.63,GB,1702526138
129,nikolayevsk-on-amure,63.4106,48.6872,9.66,94,100,7.43,RU,1702526139
130,nikolayevsk-on-amure,38.7333,-27.0667,57.45,77,20,11.3,PT,1702525878
131,nikolayevsk-on-amure,35.0725,-108.8506,34.43,66,92,5.03,US,1702526142
132,nikolayevsk-on-amure,29.85,80.5333,60.19,23,7,2.82,IN,1702526143
133,nikolayevsk-on-amure,30.3484,-5.8365,54.79,33,1,3.51,MA,1702526144
134,nikolayevsk-on-amure,-9.2978,14.9116,67.84,99,100,1.34,AO,1702526145
135,nikolayevsk-on-amure,69.9689,23.2717,11.46,67,9,18.41,NO,1702526147
136,nikolayevsk-on-amure,-2.95,25.95,68.22,99,100,0.98,CD,1702526148
137,nikolayevsk-on-amure,20.2167,-87.4667,73.49,94,30,7.56,MX,1702526149
138,nikolayevsk-on-amure,57.0531,-135.33,42.69,65,100,18.41,US,1702525746
139,nikolayevsk-on-amure,48.55,51.7833,18.25,41,100,17.72,KZ,1702526151
140,nikolayevsk-on-amure,64.571,30.5767,11.03,96,100,5.99,RU,1702526153
141,nikolayevsk-on-amure,-42.6128,-73.8092,51.01,95,100,2.98,CL,1702525598
142,nikolayevsk-on-amure,46.6328,142.7813,12.04,71,94,17.36,RU,1702526156
143,nikolayevsk-on-amure,51.3813,1.3862,41.7,88,99,3.0,GB,1702525783
144,nikolayevsk-on-amure,2.4803,96.3801,82.92,76,92,2.15,ID,1702525755
145,nikolayevsk-on-amure,-32.035,-52.0986,69.94,95,89,3.13,BR,1702525752
146,nikolayevsk-on-amure,5.1552,-52.6478,75.25,89,97,7.29,GF,1702525813
147,nikolayevsk-on-amure,5.2618,-0.759,78.8,69,0,3.65,GH,1702526164
148,nikolayevsk-on-amure,13.1287,45.3807,75.09,73,21,3.22,YE,1702526165
149,nikolayevsk-on-amure,-34.4187,19.2345,61.2,65,100,3.33,ZA,1702525748
150,nikolayevsk-on-amure,17.997,-76.7936,79.75,76,20,5.75,JM,1702525768
151,nikolayevsk-on-amure,20.7,-105.2,78.22,73,100,2.3,MX,1702525736
152,nikolayevsk-on-amure,47.6777,-116.7805,30.52,98,0,11.5,US,1702526127
153,nikolayevsk-on-amure,15.1333,-23.2167,74.19,70,98,12.44,CV,1702525799
154,nikolayevsk-on-amure,39.1834,-84.5333,34.93,66,0,1.01,US,1702525592
155,nikolayevsk-on-amure,6.7085,121.9711,89.65,64,94,11.68,PH,1702526173
156,nikolayevsk-on-amure,-3.4067,29.1458,71.82,91,99,1.01,CD,1702525944
157,nikolayevsk-on-amure,32.7627,21.7551,55.15,53,38,8.43,LY,1702526176
158,nikolayevsk-on-amure,-23.7,133.8833,98.15,20,0,13.8,AU,1702525649
159,nikolayevsk-on-amure,29.9833,75.3833,62.28,24,49,4.21,IN,1702526178
160,nikolayevsk-on-amure,22.8909,-109.9124,75.76,78,89,6.33,MX,1702525828
161,nikolayevsk-on-amure,29.1081,21.2869,59.04,56,0,9.8,LY,1702526181
162,nikolayevsk-on-amure,-33.95,115.0667,71.89,41,1,14.32,AU,1702525759
163,nikolayevsk-on-amure,40.0931,-83.018,32.11,71,0,3.44,US,1702526183
164,nikolayevsk-on-amure,55.7435,-97.8558,28.56,74,40,9.22,CA,1702525649
165,nikolayevsk-on-amure,44.1833,28.65,45.7,93,100,12.44,RO,1702525767
166,nikolayevsk-on-amure,47.9,-4.2833,44.89,87,0,4.61,FR,1702526187
167,nikolayevsk-on-amure,46.5564,39.6386,33.69,94,100,13.09,RU,1702526188
168,nikolayevsk-on-amure,13.2658,144.6691,88.36,82,98,19.15,GU,1702525769
169,nikolayevsk-on-amure,71.6872,128.8694,-2.83,100,100,4.61,RU,1702525747
170,nikolayevsk-on-amure,-2.5744,150.7967,83.64,75,81,5.32,PG,1702526191
171,nikolayevsk-on-amure,16.0678,108.2208,85.98,62,40,4.61,VN,1702526193
172,nikolayevsk-on-amure,35.8786,119.9753,42.82,93,100,10.22,CN,1702526195
173,nikolayevsk-on-amure,36.6084,-83.7166,39.2,100,0,0.0,US,1702526196
174,nikolayevsk-on-amure,-14.9003,50.2788,80.51,68,69,4.23,MG,1702526197
175,nikolayevsk-on-amure,63.2842,118.3319,-8.12,95,100,10.33,RU,1702525916
176,nikolayevsk-on-amure,18.7,-103.6583,78.01,55,100,3.36,MX,1702525767
177,nikolayevsk-on-amure,14.8667,-24.7167,70.63,65,98,7.0,CV,1702525764
178,nikolayevsk-on-amure,-18.1416,178.4415,85.48,62,75,8.05,FJ,1702526202
179,nikolayevsk-on-amure,34.1209,-93.0538,52.77,61,0,3.44,US,1702526203
180,nikolayevsk-on-amure,44.2519,-85.4012,21.11,79,0,0.0,US,1702526204
181,nikolayevsk-on-amure,4.375,-7.7169,78.69,83,0,4.23,LR,1702526206
182,nikolayevsk-on-amure,48.4001,-89.3168,22.98,79,75,2.3,CA,1702525856
183,nikolayevsk-on-amure,28.95,89.6333,22.05,21,0,2.06,CN,1702526208
184,nikolayevsk-on-amure,-32.5,137.7667,82.47,41,21,13.76,AU,1702525877
185,nikolayevsk-on-amure,-25.0978,30.4597,58.26,89,37,0.51,ZA,1702526210
186,nikolayevsk-on-amure,52.3805,32.1923,28.33,96,100,15.77,RU,1702526211
187,nikolayevsk-on-amure,34.1667,77.5833,16.74,54,1,1.77,IN,1702525744
188,nikolayevsk-on-amure,56.3161,116.0806,-22.56,94,50,1.88,RU,1702525785
189,nikolayevsk-on-amure,-9.0763,143.2092,90.9,57,95,3.74,PG,1702525873
190,nikolayevsk-on-amure,-23.065,-54.1906,76.86,82,100,6.13,BR,1702526216
191,nikolayevsk-on-amure,-8.8978,-35.1478,76.71,76,12,4.81,BR,1702525898
192,nikolayevsk-on-amure,27.9167,96.1667,69.31,57,17,3.36,IN,1702526218
193,nikolayevsk-on-amure,-37.8333,140.7667,63.97,69,100,11.5,AU,1702525480
194,nikolayevsk-on-amure,27.7167,81.9333,64.18,42,0,3.29,IN,1702526221
195,nikolayevsk-on-amure,-6.1219,141.2906,86.45,67,88,3.11,PG,1702526223
196,nikolayevsk-on-amure,67.4667,86.5833,-14.91,97,99,11.74,RU,1702525749
197,nikolayevsk-on-amure,60.1545,-1.1494,42.8,94,100,34.96,GB,1702525785
